round,best_score,average_score
1,3.074500180425269,2.654648083750504
2,3.1477150527625604,2.690591605579397
3,3.1477150527625604,2.8121431405483928
4,3.175273701207546,2.863039985715121
5,3.2320723350892835,2.8974777435452297
6,3.285990686067667,2.925792391142685
7,3.286876649582939,2.951645982666018
8,3.315762253055892,2.9799987214703476
9,3.395213399809023,3.0042252570025334
10,3.395213399809023,3.0285676248997198
11,3.395213399809023,3.056398684243419
12,3.395213399809023,3.0780541659669955
13,3.395213399809023,3.1062766415686736
14,3.431593781135169,3.142007813811881
15,3.4846027374547353,3.1727360620896947
16,3.4846027374547353,3.1996765887701195
17,3.513379567880188,3.2166283930341444
18,3.513379567880188,3.232193436193688
19,3.5319294325612294,3.2586668931911866
20,3.5319294325612294,3.284713503862908
21,3.5319294325612294,3.3080770777995845
22,3.5319294325612294,3.332722582588275
23,3.5319294325612294,3.3498665316867355
24,3.532309901691442,3.3643333668922684
25,3.532309901691442,3.386640375541134
26,3.532309901691442,3.4016968159870595
27,3.533490416061264,3.4166118483740133
28,3.533490416061264,3.434132982153482
29,3.5438179871317113,3.451690075704491
30,3.5505264788185187,3.466928904307182
31,3.5505264788185187,3.478725233955952
32,3.5505264788185187,3.4875062328714
33,3.5505264788185187,3.498625622731297
34,3.5515699878975857,3.5050846710141275
35,3.5515699878975857,3.510146174860266
36,3.55975498484118,3.5174943821752525
37,3.563722509380697,3.5228368390499636
38,3.563722509380697,3.5263241275258816
39,3.573751914280943,3.530594222693401
40,3.573751914280943,3.5337934228781647
41,3.573803941204165,3.5359112564215183
42,3.5744749803855083,3.538558482460761
43,3.5744749803855083,3.5406239589470054
44,3.5744749803855083,3.54211706729039
45,3.5744749803855083,3.5439408602330515
46,3.5744749803855083,3.5454759381935217
47,3.5744749803855083,3.5479940632720406
48,3.5744749803855083,3.5505658484588265
49,3.5744749803855083,3.5526313794735915
50,3.5744749803855083,3.554757060556144
51,3.5744749803855083,3.5571597125611327
52,3.5744749803855083,3.5588097575046436
53,3.5744749803855083,3.560218593390498
54,3.5744749803855083,3.5616218089984226
55,3.5744749803855083,3.562609306220712
56,3.5745700079516434,3.5640959693189944
57,3.5745700079516434,3.565413533775121
58,3.5745700079516434,3.566171334721962
59,3.5752319537291015,3.5672281102820427
60,3.5752319537291015,3.5676930949088574
61,3.5752319537291015,3.56836872557753
62,3.576267806637106,3.5688674351940946
63,3.576267806637106,3.5693564642726403
64,3.576344130477267,3.569829292411786
65,3.576344130477267,3.570434944353193
66,3.576344130477267,3.5708576032839905
67,3.576344130477267,3.5712219590256224
68,3.576344130477267,3.5715787476115746
69,3.576344130477267,3.5718639737571642
70,3.576344130477267,3.5720545176275507
71,3.576567494787782,3.5722975707404965
72,3.576567494787782,3.5724366425632454
73,3.5773397144486276,3.572690985464029
74,3.5773397144486276,3.5727865872366844
75,3.5773397144486276,3.5729248589290297
76,3.5773397144486276,3.573013735416441
77,3.5773397144486276,3.5732446511079434
78,3.5773397144486276,3.573343720894783
79,3.5773397144486276,3.573470214272884
80,3.5773397144486276,3.573571095084991
81,3.5773397144486276,3.5736742208046923
82,3.5773397144486276,3.573786457235737
83,3.5773397144486276,3.5738932904660055
84,3.5773397144486276,3.574019085838419
85,3.5773397144486276,3.574154698669889
86,3.5773397144486276,3.5742056490139125
87,3.5773397144486276,3.574284089466443
88,3.577416850574833,3.5743720794264053
89,3.577416850574833,3.5744370821949474
90,3.577416850574833,3.5745153355373236
91,3.577416850574833,3.574613078017811
92,3.577416850574833,3.5746842320092833
93,3.577416850574833,3.574785094843687
94,3.577416850574833,3.5748772009587206
95,3.577416850574833,3.5749438969965297
96,3.577416850574833,3.575023058790348
97,3.577416850574833,3.5750547066619434
98,3.5789790369491614,3.575141211764534
99,3.5789790369491614,3.5752138068712007
100,3.5789790369491614,3.575249982616407
