round,best_score,average_score
1,3.461217948717949,3.186216853505209
2,3.461217948717949,3.1680057054884756
3,3.473431376315992,3.1686734285544507
4,3.473431376315992,3.1706907939715436
5,3.473431376315992,3.168003673681634
6,3.473431376315992,3.1553107027336074
7,3.473431376315992,3.161120024358587
8,3.473431376315992,3.1387325028517985
9,3.473431376315992,3.1428740286603305
10,3.473431376315992,3.138003980907473
11,3.473431376315992,3.1693460165113536
12,3.473431376315992,3.158521063575064
13,3.473431376315992,3.1465223774057605
14,3.473431376315992,3.141330407816559
15,3.473431376315992,3.1410485666300274
16,3.473431376315992,3.1674955657534416
17,3.473431376315992,3.1703916562470327
18,3.473431376315992,3.133554741265508
19,3.473431376315992,3.148421453272352
20,3.473431376315992,3.167758905717484
21,3.473431376315992,3.113753918823292
22,3.473431376315992,3.1679168944466602
23,3.473431376315992,3.1773073880891904
24,3.473431376315992,3.192475521241103
25,3.473431376315992,3.126873803225519
26,3.473431376315992,3.1929667593982165
27,3.473431376315992,3.180549900467099
28,3.473431376315992,3.1694338714867554
29,3.473431376315992,3.172574912923121
30,3.473431376315992,3.148385034299855
